lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.118056381852575,-65.0980484494273,19.93674432505935,0.6658798,8.821536,5.3068123,0.034054898,7.72
-41.11805328058245,-65.09803854893741,19.941496560204488,5.698225,11.343592,11.010714,2.9957497,6.96
-41.118049662432895,-65.09802699836706,19.947040833972046,7.1115193,12.149402,15.535421,6.262858,7.56
-41.11804604428217,-65.09801544779798,19.95258510713252,9.631691,19.558334,11.71841,7.4461355,4.36
-41.118042943009186,-65.0980055473112,19.957337340783813,14.541805,22.794258,13.777257,10.225359,3.64
-41.118039324856305,-65.09799399674448,19.962881612811962,14.89307,19.25761,15.661098,11.500497,4.72
-41.11803570670227,-65.09798244617903,19.968425884226207,17.079174,21.266321,15.446133,12.520709,5.48
-41.118032605426464,-65.09797254569536,19.973178116390475,16.070543,25.776312,18.311172,13.880557,6.04
-41.11802898727026,-65.09796099513224,19.97872238668604,18.366552,24.341322,16.820812,14.781849,5.36
-41.11802536911291,-65.09794944457042,19.984266656360873,17.828388,24.87558,17.188496,15.792759,5.16
-41.11802226783425,-65.09793954408985,19.989018887031293,18.00128,25.798937,16.304209,16.26002,9.92
-41.11801864967474,-65.09792799353038,19.99456315558063,18.242647,26.722836,17.015457,16.531256,9.12
-41.11801503151407,-65.09791644297218,20.000107423516056,18.983667,26.279871,17.429804,16.930367,9.6
-41.11801193023256,-65.09790654249471,20.00485965269946,18.429516,25.96832,17.5559,17.436914,10.2
-41.11800831206975,-65.09789499193884,20.0104039195162,19.626411,27.507803,18.769266,18.204361,10.76
-41.11800469390576,-65.09788344138427,20.01594818571222,19.373466,29.072754,19.621418,19.061146,11.32
-41.11800159262141,-65.09787354090992,20.02070041340177,19.660011,31.112917,20.024534,19.206575,19.96
-41.11799797445528,-65.0978619903577,20.02624467846547,20.246374,32.628113,20.498291,19.837318,8.96
-41.11799435628797,-65.09785043980673,20.0317889429289,20.63688,32.541523,21.256828,20.307125,19.96
-41.11799125500079,-65.09784053933548,20.03654116913143,20.893248,32.07829,21.04173,20.656315,8.24
-41.11798763683133,-65.09782898878689,20.042085432455714,21.914606,31.292727,22.478045,21.121532,19.96
-41.117984018660714,-65.09781743823955,20.047629695179737,21.99325,29.82643,22.623186,21.947412,18.44
-41.117980917370694,-65.09780753777142,20.052381919881604,22.83264,29.021173,23.453312,21.563814,20.0
-41.11797729919792,-65.09779598722643,20.057926181473302,23.242813,29.068731,24.252316,22.062754,18.32
-41.117973681024,-65.09778443668272,20.063470442457916,23.705141,29.21868,24.909517,21.475079,20.0
-41.11797057973113,-65.09777453621768,20.068222665672756,24.238174,28.896204,25.201313,22.470448,19.96
-41.11796696155505,-65.09776298567633,20.073766925525042,24.494814,29.35386,25.999521,21.467777,20.0
-41.117963343377795,-65.09775143513625,20.079311184763426,25.403141,30.15102,25.865026,22.937204,19.24
-41.11796024208209,-65.09774153467433,20.084063406484425,25.460497,29.888916,26.837902,22.598032,20.0
-41.117956623902685,-65.09772998413659,20.089607664597303,26.185913,29.793789,26.69015,23.1284,19.96
-41.117953005722136,-65.09771843360014,20.095151922096278,26.719095,30.218307,27.734797,23.638777,20.0
-41.11794990442358,-65.09770853314132,20.09990414233025,27.016401,30.035213,27.66979,23.451818,19.96
-41.117946286240866,-65.0976969826072,20.105448398703725,27.589521,29.668293,28.355276,23.068031,20.04
-41.11794266805699,-65.09768543207437,20.110992654463292,27.96441,29.949745,28.7194,23.717793,20.0
-41.1179395667556,-65.09767553161866,20.11574487320342,28.481672,30.07472,28.958176,22.914938,20.04
-41.117935948569574,-65.09766398108817,20.121289127837482,28.90978,30.079487,29.354965,23.134537,20.08
-41.11793233038238,-65.09765243055895,20.126833381864454,29.389273,30.441364,29.904955,23.513151,20.04
-41.11792922907814,-65.09764253010636,20.131585599110743,30.113276,30.606827,30.149746,23.439165,20.08
-41.117925610888804,-65.0976309795795,20.137129851998576,30.370068,30.700912,30.815569,24.36398,20.04
-41.1179219926983,-65.0976194290539,20.142674104286147,31.450275,30.94362,31.027113,23.94382,20.08
-41.11791889139122,-65.09760952860442,20.14742632003858,31.560694,30.977186,31.860373,24.664175,19.96
-41.11791527319856,-65.09759797808118,20.152970571193833,32.54066,31.122086,32.116695,24.462519,20.04
-41.11791165500474,-65.09758642755922,20.158514821735167,33.102757,31.247269,33.109177,24.651293,20.08
-41.117908553694825,-65.09757652711282,20.163267036007404,33.83705,31.34161,33.320545,24.249996,20.04
-41.11790493549884,-65.09756497659322,20.16881128541642,34.562416,31.59844,34.388588,24.260885,20.08
-41.11790131730171,-65.09755342607488,20.174355534218353,35.37673,31.661263,34.863888,24.377752,20.04
-41.11789821598895,-65.0975435256316,20.17910774699674,36.316135,31.868116,35.828743,24.46353,20.08
-41.11789459778966,-65.09753197511561,20.184651994666353,37.03223,32.032166,36.63559,24.249645,20.12
