lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.41937525509648,-64.40083432366278,141.0,51.340343,39.777317,37.035995,34.39691,86.0
-41.4190310164298,-64.39973031667915,141.0,47.66541,74.78494,46.46967,39.02872,140.92
-41.41868625025046,-64.39862466371295,141.0,49.08008,53.074734,49.658867,44.637054,103.52
-41.418341473425585,-64.39751902244117,141.0,51.80192,50.047813,58.249657,45.53551,140.92
-41.417997202886134,-64.39641505047071,141.0,59.21685,53.05136,48.98334,47.995552,137.32
-41.41765240478687,-64.39530943257051,141.0,54.113106,56.684578,58.725437,49.148506,120.12
-41.41730759604279,-64.39420382636503,141.0,62.728176,63.178783,59.14912,50.660442,56.16
-41.416963293632705,-64.39309988940859,140.93309431969686,56.273537,67.81767,59.93349,52.39383,110.88
-41.41661846361567,-64.39199430657526,140.78444209634296,63.52183,57.353027,53.641285,53.61957,69.6
-41.41627362295452,-64.39088873543692,140.59187115234008,59.556877,59.41042,56.999947,54.113686,135.84
-41.41592928867595,-64.38978483349534,140.35576758528515,60.919594,63.87973,64.14159,54.23869,139.72
-41.4155844267433,-64.38867928572974,140.1881323247655,62.62507,61.69721,69.294266,54.839844,90.28
-41.415239554167265,-64.38757374965941,140.08153410383588,67.18456,57.51293,65.810234,55.589077,89.08
-41.41489518802234,-64.38646988273352,140.01891873668427,63.41771,63.718,78.29704,57.184612,93.8
-41.414550294176216,-64.3853643700365,139.97961889893034,64.68492,62.573086,63.271503,55.76581,135.72
-41.414205389687424,-64.38425886903502,139.6566268008498,64.481766,62.14403,62.69017,58.27938,25.28
-41.41386099167832,-64.38315503712572,139.37794623465524,64.78019,65.38176,60.336433,58.57419,24.12
-41.41351606592087,-64.38204955949811,139.14274165605167,63.394047,68.74377,60.599724,58.69864,59.24
-41.41317112952147,-64.38094409356636,138.97511666212387,65.83528,68.5306,60.129364,58.557957,59.44
-41.41282669965031,-64.37984029667444,138.85736324271488,68.407455,79.78459,61.36122,59.55784,129.12
-41.4124817419837,-64.37873485411713,138.69553739223076,72.82534,66.248505,67.77624,57.913177,133.48
-41.412136773675854,-64.37762942325593,138.4897816528309,80.30045,65.28425,67.6764,59.319225,133.4
-41.411792311944794,-64.37652566138229,138.19631356265583,80.47109,62.4494,64.62479,61.44174,50.4
-41.41144732237116,-64.3754202538961,137.84821826829702,67.29309,61.735134,68.27848,61.211765,26.8
-41.411102322157014,-64.3743148581063,137.5001232273513,63.888737,63.740314,70.19633,58.321327,23.08
-41.41075782856821,-64.3732111312518,137.15255032095536,64.38334,64.07885,65.354164,58.85236,22.96
