lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.11805689873086,-65.09805009950904,19.935952285823017,2.9616392,9.737923,1.8968065,-0.25413674,6.72
-41.118052763704014,-65.09803689885585,19.942288599352143,11.3523,13.461713,12.14979,5.513004,6.16
-41.118049662432895,-65.09802699836706,19.947040833972046,14.237275,15.643662,14.79185,7.5494404,5.52
-41.11804656116091,-65.0980170978792,19.951793068148575,13.796828,17.976181,17.09326,8.653851,5.44
-41.11804242613028,-65.09800389723017,19.958129379679082,11.315457,20.981398,21.144552,10.981169,1.92
-41.118039324856305,-65.09799399674448,19.962881612811962,11.424979,22.635645,19.9299,11.32022,7.68
-41.118036223581484,-65.09798409625972,19.96763384549465,12.165873,23.615152,16.80318,11.983994,7.68
-41.118032088547075,-65.09797089561484,19.973970155040178,14.263755,24.589054,15.152853,14.263755,8.0
-41.11802898727026,-65.09796099513224,19.97872238668604,16.72854,25.388193,15.155978,14.942278,10.56
-41.118025885992594,-65.0979510946506,19.983474617874876,19.91198,26.295883,15.79333,15.450395,10.64
-41.11802175095439,-65.09793789400985,19.989810925435442,24.198082,27.817373,17.45481,16.458668,3.04
-41.11801864967474,-65.09792799353038,19.99456315558063,25.984486,28.81569,19.117834,16.81442,2.8
-41.118015548394226,-65.09791809305183,19.999315385282443,26.926634,29.93513,20.953863,17.191944,2.8
-41.118011413352235,-65.09790489241523,20.005651690851217,28.90807,31.799303,23.081879,17.91404,2.96
-41.11800831206975,-65.09789499193884,20.0104039195162,31.464066,33.625885,24.322943,18.406237,3.36
-41.11800521078639,-65.09788509146341,20.01515614772417,32.8649,35.97908,25.495993,18.678812,3.84
-41.118001075740615,-65.09787189083094,20.02149245130797,29.284933,40.253284,27.582731,19.111921,4.16
-41.11799797445528,-65.0978619903577,20.02624467846547,26.62331,45.33976,30.004066,19.677782,4.24
-41.11799487316909,-65.09785208988536,20.030996905186413,24.929052,57.4113,33.65497,20.397608,4.4
-41.11799073811951,-65.09783888925703,20.037333206785235,23.817411,49.10411,41.46646,20.687035,19.92
-41.11798763683133,-65.09782898878689,20.042085432455714,23.582876,43.540073,41.18333,20.634075,19.92
-41.117984535542305,-65.09781908831766,20.046837657682815,23.670303,40.607704,36.30695,20.648956,19.92
-41.117980400488946,-65.09780588769348,20.05317395728985,24.029264,38.33267,32.471767,20.768257,5.92
-41.11797729919792,-65.09779598722643,20.057926181473302,24.320217,37.29081,30.560307,20.775581,5.84
-41.11797419790606,-65.09778608676031,20.062678405213376,24.562895,36.597523,28.973934,20.879532,5.84
-41.117970062848904,-65.09777288614028,20.069014702828614,24.84244,36.013508,27.119526,21.203745,5.76
-41.11796696155505,-65.09776298567633,20.073766925525042,25.074772,35.712723,25.913237,21.592922,5.76
-41.11796386026033,-65.09775308521333,20.078519147764453,25.34988,35.443584,24.894932,22.111156,5.68
-41.11795972519939,-65.09773988459743,20.08485544339472,25.753193,35.03665,23.795675,22.983557,5.6
-41.117956623902685,-65.09772998413659,20.089607664597303,25.995398,34.6772,23.268238,23.221058,10.32
-41.117953522605134,-65.09772008367669,20.094359885349693,26.146044,34.24162,22.926197,22.906355,10.24
-41.117949387540406,-65.09770688306493,20.100696178994987,26.220396,33.59898,22.655832,22.647438,10.16
-41.117946286240866,-65.0976969826072,20.105448398703725,26.217094,33.131516,22.628286,22.628286,10.08
-41.117943184940465,-65.09768708215041,20.110200617962263,26.204744,32.728214,22.712008,22.712008,10.08
-41.11793904987195,-65.0976738815428,20.11653690961577,26.17983,32.27102,22.988205,22.988205,10.08
-41.117935948569574,-65.09766398108817,20.121289127837482,26.129313,32.02619,23.314398,23.312145,10.0
-41.11793284726633,-65.09765408063448,20.126041345609,26.020758,31.852057,23.741655,23.734228,10.0
-41.117928712194015,-65.09764088003102,20.132377635270707,25.751852,31.71356,24.452087,24.410698,9.84
-41.117925610888804,-65.0976309795795,20.137129851998576,25.473179,31.666338,25.065332,24.90971,9.44
-41.11792250958272,-65.09762107912891,20.141882068283067,25.163647,31.655733,25.712263,25.095505,8.48
-41.11791837450663,-65.09760787852959,20.148218355959806,24.759953,31.68586,26.545067,24.752312,7.84
-41.11791527319856,-65.09759797808118,20.152970571193833,24.498077,31.736189,27.083738,24.455576,7.76
-41.11791217188964,-65.0975880776337,20.157722785984475,24.290503,31.808983,27.505909,24.221535,7.68
-41.11790803680975,-65.09757487703853,20.16405907166942,24.1149,31.941809,27.872324,24.03211,7.68
-41.11790493549884,-65.09756497659322,20.16881128541642,24.073313,32.068073,27.996038,23.994867,7.68
-41.11790183418709,-65.09755507614885,20.173563498713225,24.108852,32.214443,28.023277,24.039787,7.68
-41.117897699103416,-65.09754187555781,20.179899782413194,24.283676,32.434353,28.005205,24.229593,7.76
-41.11789459778966,-65.09753197511561,20.184651994666353,24.50852,32.606472,27.958193,24.466473,7.76
-41.11789149647506,-65.09752207467434,20.189404206476127,24.818874,32.775635,27.923023,24.787271,7.76
-41.1178873613876,-65.09750887408745,20.195740488184306,25.36829,32.978764,27.908371,25.347168,7.84
-41.11788426007101,-65.09749897364836,20.20049269895044,25.885057,33.1045,27.927082,25.871737,7.84
-41.11788115875356,-65.0974890732102,20.20524490926637,26.492464,33.20053,27.971415,26.486956,7.92
-41.11787702366231,-65.09747587262744,20.211581188989577,27.44657,33.282135,28.076279,27.44657,8.0
-41.11787392234288,-65.09746597219147,20.216333398255045,28.266321,33.312252,28.191036,27.385975,12.0
