lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.419716898893896,-64.4019300538339,141.0,-0.3703146,12.623621,13.813902,-2.3407302,6.4
-41.41971276408442,-64.40191679228057,141.0,6.528744,16.171528,18.527899,4.6031957,6.4
-41.41970966297631,-64.40190684611666,141.0,7.556465,17.412306,19.931406,7.556362,7.92
-41.41970656186733,-64.40189689995371,141.0,11.66473,18.380943,20.70904,9.931916,2.56
-41.41970242705403,-64.4018836384046,141.0,20.511835,19.340988,21.166853,11.093915,2.72
-41.41969932594304,-64.40187369224385,141.0,24.25839,22.550718,21.650963,12.07184,3.68
-41.4196962248312,-64.40186374608406,141.0,22.827438,23.259003,22.3525,12.914196,3.52
-41.41969209001406,-64.40185048453914,141.0,19.354143,21.749445,23.192398,14.306211,4.32
-41.41968898890021,-64.40184053838155,141.0,18.035385,23.337423,23.586666,15.1327,4.16
-41.41968588778549,-64.40183059222491,141.0,17.633402,24.76781,24.21596,15.58338,5.68
-41.419681752964536,-64.40181733068421,141.0,17.504993,25.487207,25.039854,16.061802,6.16
-41.4196786518478,-64.40180738452977,141.0,17.771957,26.79663,26.355984,16.547132,6.0
-41.41967555073022,-64.40179743837629,141.0,18.439558,28.610384,26.97239,17.210463,6.32
-41.41967141590543,-64.40178417683977,141.0,19.361864,30.37807,27.477901,18.244648,6.16
-41.41966831478583,-64.4017742306885,141.0,19.996603,30.785467,28.684784,18.98445,5.28
-41.41966521366537,-64.40176428453817,141.0,20.510534,30.941973,29.395306,19.625229,5.6
-41.419661078836754,-64.40175102300587,141.0,20.622213,31.337217,29.473885,20.40387,5.52
-41.41965797771427,-64.40174107685775,141.0,20.552074,31.86647,29.788137,20.515512,8.24
-41.419654876590954,-64.40173113071057,141.0,20.420567,32.510975,30.259823,20.4025,8.4
-41.4196507417585,-64.40171786918246,141.00000000000003,20.387325,33.39012,30.784277,20.387325,8.0
-41.41964764063315,-64.4017079230375,141.00000000000003,20.595701,33.996086,31.201525,20.57465,8.16
-41.419644539506955,-64.40169797689347,141.0,20.980162,34.507465,31.790192,20.97787,7.92
-41.41964040467067,-64.40168471536958,141.0,21.77354,35.056873,32.846657,21.770533,8.08
-41.419637303542466,-64.40167476922777,141.0,22.559498,35.4263,33.721207,22.396427,11.52
-41.41963420241339,-64.4016648230869,141.0,23.351547,35.80993,34.538464,22.397053,11.84
-41.41963006757328,-64.40165156156722,141.0,24.308975,36.440357,35.425644,22.659384,11.92
-41.419626966442195,-64.40164161542856,141.0,24.805023,37.061043,35.93754,23.042397,11.52
-41.41962386531026,-64.40163166929085,141.0,25.020557,37.865753,36.35329,23.501635,11.52
-41.419619730466316,-64.40161840777536,141.0,25.082106,39.343384,36.800995,24.11273,10.96
-41.41961662933235,-64.40160846163985,141.0,25.08454,40.860073,37.064075,24.470333,9.92
-41.419613528197544,-64.4015985155053,141.0,25.163305,42.893997,37.25664,24.747423,9.52
-41.41960939334978,-64.40158525399403,141.0,25.488953,46.8775,37.39541,25.146965,9.52
-41.419606292212954,-64.40157530786166,141.0,25.905882,51.288605,37.418846,25.201067,14.08
-41.41960319107526,-64.40156536173026,141.0,26.474682,54.09252,37.393787,25.179873,13.6
-41.41959905622367,-64.4015521002232,141.0,27.390114,48.82868,37.32925,25.215036,13.36
-41.41959595508397,-64.401542154094,141.0,28.084164,45.513138,37.292015,25.351238,13.2
-41.419592853943406,-64.40153220796576,141.0,28.684025,43.277912,37.291225,25.61749,13.2
-41.41958871908799,-64.40151894646289,141.0,29.173674,41.361683,37.37881,26.150894,13.2
-41.419585617945415,-64.40150900033684,141.0,29.3,40.46396,37.532566,26.309454,17.52
-41.419582516801974,-64.40149905421175,141.0,29.306046,39.890976,37.77474,26.35353,17.44
-41.41957838194273,-64.40148579271309,141.0,29.288324,39.472202,38.255447,26.587189,17.28
-41.41957528079728,-64.4014758465902,141.0,29.373064,39.296093,38.74907,26.873407,16.96
-41.41957217965099,-64.40146590046825,141.0,29.593592,39.1278,39.366848,27.208399,16.64
-41.41956804478791,-64.40145263897381,141.0,30.116587,38.755245,40.405243,27.617031,15.76
-41.419564943639585,-64.40144269285408,141.0,30.664307,38.29776,41.360847,27.822964,14.96
-41.41956184249042,-64.40143274673528,141.0,31.28813,37.700314,42.476597,27.980762,14.48
-41.419557707623504,-64.40141948524504,141.0,32.105133,36.792336,44.218098,28.228888,20.4
-41.41955460647232,-64.40140953912845,141.0,32.582077,36.119022,45.690376,28.301828,19.68
-41.41955150532027,-64.40139959301283,141.0,32.86176,35.51273,47.21808,28.316748,19.12
-41.419547370449536,-64.40138633152678,141.0,32.95275,34.8612,49.010117,28.352383,18.64
-41.41954426929548,-64.40137638541336,141.0,32.902115,34.507706,49.81694,28.451063,18.48
-41.41954116814056,-64.40136643930087,141.0,32.854404,34.27004,50.0006,28.63535,18.32
-41.419537033265996,-64.40135317781905,141.0,32.92173,34.115902,49.591217,29.009237,18.24
