lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.41937525509648,-64.40083432366278,141.0,45.25622,34.131107,37.652515,34.12232,39.76
-41.4190310164298,-64.39973031667915,141.0,58.541794,44.670494,40.915943,39.312923,94.12
-41.41868625025046,-64.39862466371295,141.0,59.385,48.5396,48.23556,40.158195,128.2
-41.418341473425585,-64.39751902244117,141.0,60.010494,60.22887,62.79602,41.457314,139.24
-41.417997202886134,-64.39641505047071,141.0,49.89945,50.283997,48.682457,43.313126,138.36
-41.41765240478687,-64.39530943257051,141.0,47.89644,59.0335,47.703644,45.118736,95.2
-41.41730759604279,-64.39420382636503,141.0,46.87922,48.136475,51.380592,46.54326,6.76
-41.416963293632705,-64.39309988940859,140.93309431969686,47.15105,48.32529,50.35654,47.11391,8.52
-41.41661846361567,-64.39199430657526,140.78444209634296,49.18024,59.66036,54.16839,47.642124,28.68
-41.41627362295452,-64.39088873543692,140.59187115234008,49.751156,54.60599,51.05633,49.409374,33.72
-41.41592928867595,-64.38978483349534,140.35576758528515,49.188747,49.039413,57.01644,49.03248,40.2
-41.4155844267433,-64.38867928572974,140.1881323247655,54.06911,54.990353,57.68533,50.43353,17.92
-41.415239554167265,-64.38757374965941,140.08153410383588,53.688873,53.355896,53.120056,50.31327,19.56
-41.41489518802234,-64.38646988273352,140.01891873668427,51.601097,59.158314,54.646908,49.86129,50.08
-41.414550294176216,-64.3853643700365,139.97961889893034,56.350975,54.451496,56.63179,50.278435,23.0
-41.414205389687424,-64.38425886903502,139.6566268008498,53.609974,54.979374,60.543873,52.64699,100.56
-41.41386099167832,-64.38315503712572,139.37794623465524,54.146122,57.011353,60.57807,51.799088,137.6
-41.41351606592087,-64.38204955949811,139.14274165605167,56.123734,64.57836,61.019127,51.36513,27.76
-41.41317112952147,-64.38094409356636,138.97511666212387,55.272068,63.880795,53.86662,51.828026,137.0
-41.41282669965031,-64.37984029667444,138.85736324271488,55.989574,62.72426,55.86008,53.81374,15.64
-41.4124817419837,-64.37873485411713,138.69553739223076,53.792427,65.843956,59.937645,53.040073,90.2
-41.412136773675854,-64.37762942325593,138.4897816528309,70.936325,51.823853,61.694065,51.308537,38.0
-41.411792311944794,-64.37652566138229,138.19631356265583,54.55623,60.618267,57.326817,54.552784,8.16
-41.41144732237116,-64.3754202538961,137.84821826829702,56.4102,61.71103,57.752583,53.515366,83.84
-41.411102322157014,-64.3743148581063,137.5001232273513,59.534847,56.007397,67.9383,54.878277,42.92
-41.41075782856821,-64.3732111312518,137.15255032095536,56.7564,59.42364,60.98619,55.32224,110.92
-41.4104128070897,-64.37210575883756,136.80445578669767,59.459812,64.08353,68.43183,55.7791,15.08
-41.41006777497139,-64.37100039812005,136.45636150609863,55.413967,78.76845,62.609753,54.74057,10.68
-41.40972324952699,-64.36989670628549,136.108789359149,57.83583,60.85132,60.9999,55.233242,23.72
-41.40937819614576,-64.36879136894409,135.76069558571714,63.557262,65.63524,55.565662,54.53845,52.16
-41.40903313212545,-64.36768604329968,135.32781365441082,67.57573,57.96218,58.30162,56.76174,84.28
-41.408688574827586,-64.36658238648593,134.8492705545121,55.98464,65.67503,78.374695,55.526577,10.36
-41.40834348954578,-64.36547708421821,134.3261024014588,55.39651,66.60735,79.49709,54.88987,10.32
-41.40799839362563,-64.36437179364778,133.78845936931614,71.78133,62.36255,66.69145,57.956554,31.12
-41.407653804476446,-64.36326817185568,133.3581873476029,72.81101,58.21911,61.815845,55.213722,60.52
-41.407308687296236,-64.36216290466248,132.92726697473466,58.986946,58.756058,70.25621,58.568573,38.64
-41.40696355947838,-64.36105764916684,132.49634430320725,58.872334,67.371185,64.6607,57.106857,130.72
-41.40661893848004,-64.35995406239726,132.07589613728518,60.7346,61.997227,62.1893,58.85416,109.88
-41.406273789403556,-64.35884883027944,131.63728648907957,61.529503,65.93796,59.58611,59.19252,83.92
-41.40592862969014,-64.35774360985944,131.15472779528528,60.55221,72.35415,64.45902,59.21999,24.4
-41.405583976844795,-64.35664005811321,130.62904098887017,67.12589,64.34926,62.81021,56.795856,46.52
-41.40523879587419,-64.35553486107162,130.52687342684447,58.912365,71.381454,67.3823,58.570038,73.88
-41.40489360426739,-64.35442967572813,130.74471094145932,60.052994,62.36848,64.1162,59.58572,10.24
-41.40454891957715,-64.35332615900607,131.04991289828968,73.555504,57.949978,68.38316,57.924088,40.44
-41.40420370671459,-64.35222099704154,131.4433984831955,58.70949,69.74393,61.094257,58.4247,9.6
-41.40385848321653,-64.3511158467754,132.12262635880302,66.52609,62.602806,70.44137,59.452335,98.84
-41.40351376668358,-64.3500123650784,132.8344012127363,61.830307,65.017944,69.13619,58.73048,132.76
-41.4031685219312,-64.34890723819179,133.54723383052755,65.09593,70.40847,72.427155,60.286633,104.32
-41.40282326654405,-64.34780212300383,134.2325649686136,63.564545,73.36053,63.2133,60.997875,134.16
-41.40247851817052,-64.34669867633271,134.6794797611065,61.37292,66.14769,63.856533,60.981575,9.88
-41.40213324153047,-64.34559358452485,135.12705743526752,64.40861,67.10814,64.89831,60.92804,26.0
-41.40178795425637,-64.34448850441593,135.6455179308415,64.4026,63.914574,69.79208,61.96656,55.24
-41.40144317404442,-64.34338509277154,136.2492779873099,81.8575,64.43973,69.51581,62.629185,133.76
-41.40109786551885,-64.34228003604328,136.97493462999842,67.77319,69.18205,65.983315,62.35823,101.4
-41.400752546359946,-64.34117499101424,137.6566235181833,66.47422,70.33425,69.75309,62.237297,19.16
-41.40040773431173,-64.3400716143974,138.2934201294432,63.780315,67.81456,67.5997,60.821117,15.96
-41.40006239390279,-64.33896659274959,138.81101005675367,62.103455,62.110775,70.7852,59.938473,14.12
-41.399717042861255,-64.33786158280128,139.25853058197094,60.38136,64.9237,70.206825,59.454422,11.28
-41.39937219897888,-64.33675824121286,139.70537201264253,61.814285,66.97824,68.13838,61.218666,28.04
-41.39902682668874,-64.33565325464633,140.1528762149441,68.33937,64.855736,64.42882,63.093296,55.44
-41.398681443766684,-64.33454827977958,140.6003722496905,78.93346,71.93036,64.77924,62.705173,79.4
-41.39833656805234,-64.33344497322041,141.04718922665236,83.347015,83.271965,76.57327,61.495365,112.96
-41.39799116388314,-64.332340021736,141.49466893855984,84.54478,86.55467,99.52497,57.297928,141.44
-41.39764574908275,-64.33123508195168,141.93856012609677,82.446205,83.602806,85.49825,61.440907,138.32
-41.397300841538566,-64.3301318104226,142.1205674824713,79.62262,83.7183,67.004135,63.81852,87.84
-41.39695540549244,-64.32902689402115,142.30284276774836,79.630455,66.45097,65.000916,63.8319,60.28
-41.39660995881586,-64.32792198932007,142.4851126936278,66.77618,63.880108,71.67866,63.67257,42.36
-41.39626501944399,-64.32681875282192,142.66710400393566,61.69879,67.447464,73.13464,61.02632,10.68
-41.39591955152311,-64.32571387150429,142.84936321915586,62.241703,64.491394,80.76213,60.52612,13.12
-41.395574072972465,-64.3246090018873,143.03161707508073,65.18014,69.50073,67.83079,62.10467,16.44
-41.39522910177506,-64.32350580042093,143.21359233963057,68.67221,73.62875,70.88467,64.19989,21.08
-41.39488360198156,-64.32240095418794,143.39583548510942,73.42249,68.86316,71.22434,65.56477,23.04
-41.39453809155903,-64.32129611965587,143.57807327139864,72.90991,70.17356,68.73381,65.04658,140.8
-41.39419308853822,-64.3201929532221,143.7600324905094,77.583374,69.092995,76.96159,62.991367,143.72
-41.39384755687427,-64.3190881420746,143.94225956656058,70.29822,69.877815,70.70915,65.72112,119.92
-41.39350201458199,-64.31798334262832,143.94048348906796,74.70358,76.20957,67.82624,65.93545,95.56
-41.39315697973994,-64.316880211228,143.8576751269762,67.97488,72.07676,69.05251,66.05514,47.36
-41.39281141620768,-64.31577543516681,143.77473987923284,66.61382,71.29547,68.12838,65.77175,11.12
-41.39246584204781,-64.31467067080713,143.691802080865,67.98235,67.93107,76.66023,65.56941,111.76
-41.392120775386665,-64.3135675744411,143.46052614003548,67.59157,68.622345,79.05145,66.467125,139.68
-41.39177517998823,-64.3124628334671,143.258329291662,69.25348,67.0204,79.28537,67.0202,39.96
-41.391429573962924,-64.31135810419485,143.10011571078343,71.71436,67.44884,74.14282,65.556366,107.52
-41.39108447548481,-64.31025504286393,143.0,67.154884,75.542244,67.270325,66.2091,11.44
-41.39073884822239,-64.30915033697792,143.0,73.10558,69.31719,71.87462,65.83751,139.08
-41.390393210333784,-64.30804564279397,143.0,73.88143,71.42206,73.1414,67.26031,23.32
-41.39004808004086,-64.30694261649899,143.0,67.19739,104.784744,75.93523,66.052185,11.96
-41.38970242091658,-64.30583794570182,142.90393340656766,70.649284,85.46092,72.13371,68.14378,80.24
-41.389356751166844,-64.30473328660699,142.63598876042363,82.42842,72.65853,71.06102,64.9413,30.8
-41.389011589061276,-64.30363029534881,142.37127085846043,70.32849,75.24233,73.18792,66.263725,28.68
-41.38866589807727,-64.30252565964132,142.1061582886622,66.93295,75.67528,69.889694,65.363976,13.04
-41.38832019646854,-64.30142103563642,141.95181340679878,70.30286,70.56746,70.535446,65.47372,18.12
-41.387975002552466,-64.30031807941587,141.83646712237396,67.80288,67.07011,82.94685,66.458336,12.36
-41.387629279710914,-64.2992134787989,141.67698784107574,69.46616,68.99029,71.99202,67.080894,32.56
-41.38728354624535,-64.29810888988479,141.47351444938522,75.86018,66.748085,73.58949,66.59558,41.56
-41.3869383205209,-64.29700596870269,141.2853767244455,86.86996,71.35456,72.95114,65.821266,63.36
-41.386592565823946,-64.29590140317706,141.1457183787266,75.347275,74.81483,84.07325,68.68493,112.92
-41.386246800503685,-64.29479684935457,141.05005583641986,69.06321,75.40303,83.958595,65.54283,137.12
-41.38590154297303,-64.29369396321177,140.98655114556752,68.14196,78.11687,92.88476,65.14328,137.08
-41.38555575642281,-64.2925894327783,140.7214638415355,75.69529,73.416954,74.678764,69.2594,108.92
-41.38520995925002,-64.29148491404828,140.4294104395331,84.11604,76.66281,67.301796,66.28473,73.16
-41.3848646699153,-64.29038206294558,140.08461146773982,83.13801,74.95831,70.01345,67.7645,74.84
-41.38451885151399,-64.28927756760515,139.7269529745326,70.26254,76.3401,75.53947,69.49653,11.04
-41.384173022490806,-64.28817308396842,139.46408719384397,68.5978,72.394554,83.80695,66.84858,13.16
-41.383827701354164,-64.28707026790667,139.24551941312586,69.46828,72.367714,78.542244,67.420685,14.12
-41.383481851103895,-64.28596580766008,139.07059459877468,75.47154,72.49994,80.436295,67.27517,21.44
-41.383135990232475,-64.28486135911746,139.0,70.024475,72.617874,82.161476,68.17547,14.04
-41.38279063729607,-64.2837585780975,139.0,69.52402,74.029396,76.0461,68.64692,11.28
-41.38244475519899,-64.28265415294558,139.0,77.66777,68.61353,86.47018,67.287575,35.4
-41.38209886248149,-64.28154973949792,139.0,80.65325,69.52198,73.56234,68.474396,36.16
-41.38175347774745,-64.28044699352057,138.61455683935546,71.86739,80.11594,70.85072,68.99859,91.0
-41.38140756380573,-64.27934260346416,138.08444961227733,72.18942,83.016975,71.66493,69.82351,134.32
-41.381061639244294,-64.27823822511228,137.52928781936853,77.03596,77.52522,77.13913,68.6824,134.52
-41.380716222714796,-64.27713551417838,137.02183810149205,75.94669,79.11452,90.61326,70.13189,28.6
-41.38037027693057,-64.2760311592183,136.7474781871333,72.58792,75.92255,81.30592,69.222664,56.84
-41.38002432052735,-64.27492681596304,136.48243580586973,80.71346,72.669464,87.883965,69.761604,21.24
-41.37967887220451,-64.2738241400734,136.21779359235572,70.52734,74.25932,73.77008,69.30129,12.24
-41.37933289457994,-64.2727198202105,135.95275682525852,71.057686,71.15026,73.84662,68.56313,14.56
-41.37898690633709,-64.27161551205268,135.6877228673813,70.58448,70.98773,79.56252,68.79981,13.32
-41.378641426223076,-64.27051287120814,135.4230890646924,71.43795,73.00739,76.07652,69.76406,12.96
-41.37829541676031,-64.26940858644322,135.15806072111118,73.192924,81.02039,73.1688,69.89705,51.6
-41.37794939667997,-64.26830431338367,134.78607037363625,75.98981,86.39285,79.31714,70.91835,27.88
-41.37760388477692,-64.26720170758507,134.25681959031112,74.481125,76.82919,78.18416,70.40032,130.52
-41.377257843478105,-64.26609745791897,133.7267797505831,81.750694,78.34055,75.12823,70.3891,130.64
-41.37691179156245,-64.26499321995853,133.19269551933704,79.45506,81.96426,85.562836,70.51393,111.6
-41.37656624787252,-64.26389064920669,132.83375578434206,84.65624,76.71769,76.282265,71.86911,131.32
-41.3762201747398,-64.26278643464025,132.56874428839643,97.95102,73.35628,76.52329,72.03186,34.52
-41.375874090990955,-64.26168223177972,132.3037356018686,78.883835,73.73763,81.3793,71.28359,33.08
-41.375528515516294,-64.26057969607544,132.0391270328419,72.94005,80.74403,87.59048,70.34598,15.64
-41.37518241055184,-64.25947551660948,131.77412396101252,69.48395,83.581955,90.809265,68.28992,12.08
-41.37483629497196,-64.25837134884972,131.5091236986691,73.812065,75.15334,91.560326,71.46766,15.48
-41.374490687714705,-64.25726884819385,131.2445235412588,82.426765,73.59319,76.56921,72.76426,47.32
-41.37414455092066,-64.25616470382919,130.97952889374002,90.688545,78.5086,75.47774,72.90624,72.64
-41.37379840351191,-64.255060571171,130.71453705577548,89.84133,83.606224,77.87715,73.00947,93.88
-41.373452764474216,-64.25395810556437,130.44994531018273,85.9722,84.11112,79.76904,71.96485,127.36
-41.373106595852725,-64.25285399630184,130.18495908717586,85.337654,81.92149,80.42206,71.37389,126.68
-41.372760416617254,-64.25174989874606,129.84295226160728,81.4364,81.80172,96.87345,73.73744,125.28
-41.37241474580125,-64.25064746818947,129.35229647003192,78.31608,88.24488,83.14611,76.36609,97.36
-41.37206854535447,-64.2495433940299,128.90490967075664,79.740654,87.339745,81.94753,76.197815,52.72
-41.37172233429443,-64.24843933157736,128.50156292059575,79.78673,78.86829,82.915436,75.20337,55.88
-41.37137663170228,-64.24733693607165,128.17904743293207,78.366684,75.95647,79.18316,75.53256,37.44
-41.37103039943238,-64.24623289701586,127.86565951316476,77.33875,78.05479,80.82892,75.0526,14.6
-41.3706841565499,-64.24512886966735,127.5082410966403,78.87196,84.972565,87.25357,74.66468,18.36
-41.370338422183764,-64.24402650921336,127.10742569218726,79.379715,92.7538,90.98529,75.604935,19.36
-41.36999215809285,-64.24292250526216,126.80140123765051,83.15477,91.35808,89.538086,75.096695,23.68
-41.36964588339012,-64.24181851301854,126.53644309918289,80.26623,81.078316,81.1937,76.485344,18.76
-41.36930011725213,-64.24071618761705,126.27188500282503,78.34318,79.290184,79.33628,76.7624,12.96
