lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.419716382042786,-64.40192839613964,141.0,1.952313,10.448327,12.395829,-0.77426934,6.12
-41.41971328093568,-64.40191844997464,141.00000000000003,5.820585,17.878105,14.897031,3.7828543,3.32
-41.41970966297631,-64.40190684611666,141.0,9.437175,17.449192,17.048206,5.2487173,4.32
-41.419706045015744,-64.40189524225998,141.0,15.291185,23.814316,16.104092,7.3794227,3.92
-41.419702943905776,-64.40188529609814,141.0,16.009434,24.406775,18.582468,8.365363,4.68
-41.41969932594304,-64.40187369224385,141.0,15.982602,23.94234,19.539602,10.266771,5.36
-41.41969570797914,-64.40186208839086,141.0,14.596554,20.38536,22.322063,12.268357,6.0
-41.41969260686629,-64.40185214223216,140.99999999999997,16.436974,19.426334,21.346815,13.789556,6.56
-41.41968898890021,-64.40184053838155,141.0,14.941382,20.392109,22.530462,14.924806,7.92
-41.41968537093295,-64.40182893453223,141.0,15.507705,23.616917,23.78311,15.027821,8.6
-41.41968226981723,-64.4018189883767,141.0,16.057007,29.52123,26.232985,15.313506,9.36
-41.4196786518478,-64.40180738452977,141.0,16.320238,39.32655,28.368813,16.090715,7.76
-41.4196750338772,-64.40179578068413,141.0,17.159714,45.049225,26.312872,16.690794,8.32
-41.41967193275861,-64.40178583453175,141.0,18.177652,39.44057,24.691961,17.70142,9.04
-41.41966831478583,-64.4017742306885,141.0,19.134123,34.652176,24.53596,18.63683,14.4
-41.41966469681187,-64.40176262684653,141.0,21.15112,31.46678,25.076265,18.795275,13.32
-41.41966159569041,-64.40175268069731,141.0,22.187363,30.978832,26.578516,19.198507,14.16
-41.41965797771427,-64.40174107685775,141.0,23.45338,29.64473,29.456436,20.224438,13.16
-41.419654359736974,-64.40172947301946,141.0,23.493107,28.114067,34.371063,20.682867,19.6
-41.41965125861264,-64.40171952687339,141.0,22.987652,28.26001,42.023994,20.69063,18.68
-41.41964764063315,-64.4017079230375,141.00000000000003,22.27297,28.946468,45.249763,21.478264,19.32
-41.419644022652506,-64.4016963192029,141.0,22.001059,28.307693,39.180813,21.588003,8.32
-41.41964092152529,-64.40168637305999,141.0,22.448042,28.708572,37.22947,21.907282,8.96
-41.419637303542466,-64.40167476922777,141.0,23.267225,29.70781,36.96497,22.524776,15.04
-41.41963368555846,-64.40166316539685,141.0,25.02382,29.334827,35.850643,21.859585,14.36
-41.41963058442838,-64.40165321925708,141.0,26.514854,29.251377,34.907,21.697117,13.68
-41.419626966442195,-64.40164161542856,141.0,28.994734,29.63857,33.956608,21.991724,14.28
-41.41962334845484,-64.40163001160131,141.0,29.670774,28.814354,33.15997,22.711363,13.48
-41.41962024732189,-64.40162006546471,141.0,30.27867,29.036938,32.361454,23.40771,20.64
-41.41961662933235,-64.40160846163985,141.0,28.337091,29.007206,32.020187,23.396381,19.8
-41.41961301134165,-64.4015968578163,141.0,28.316208,28.836523,32.0736,23.57367,20.32
-41.419609910205835,-64.40158691168284,141.0,27.230394,29.233398,32.221355,24.031496,19.88
-41.419606292212954,-64.40157530786166,141.0,27.797884,29.21461,32.284267,24.673618,19.24
-41.41960267421889,-64.40156370404179,141.0,27.96197,29.40597,32.793724,25.231361,26.56
-41.419599573080205,-64.40155375791149,141.0,28.98341,29.445179,33.542755,25.313936,25.68
-41.41959595508397,-64.401542154094,141.0,30.161352,29.39337,34.241783,25.84353,26.36
-41.41959233708656,-64.4015305502778,141.0,31.766615,29.111904,35.085724,26.177408,31.2
-41.419589235945,-64.40152060415065,141.0,33.145588,28.846493,35.652496,26.246302,30.32
-41.419585617945415,-64.40150900033684,141.0,34.299095,28.799953,35.65859,26.380413,30.96
-41.41958199994466,-64.40149739652432,141.0,34.55887,28.361937,36.216858,26.849588,29.96
-41.419578898800225,-64.40148745040032,141.0,34.68648,28.471895,36.786514,27.159508,30.76
-41.41957528079728,-64.4014758465902,141.0,33.396877,28.487434,35.953644,27.176037,37.64
-41.419571662793174,-64.40146424278136,141.0,33.41907,28.836542,35.196068,27.316513,38.08
-41.419568561645875,-64.40145429666052,141.0,32.67344,29.197126,35.012676,27.397444,37.32
-41.419564943639585,-64.40144269285408,141.0,32.903454,29.262669,34.749363,27.874773,36.32
-41.41956132563213,-64.40143108904891,141.0,32.62449,29.97262,34.89891,27.946522,26.44
-41.41955822448195,-64.40142114293123,141.0,33.419323,30.13798,34.82386,28.036001,25.72
-41.41955460647232,-64.40140953912845,141.0,34.0818,30.734468,34.165356,28.412405,26.32
-41.419550988461516,-64.40139793532698,141.0,35.209724,30.706276,33.86149,28.76228,25.48
-41.419547887308454,-64.40138798921244,141.0,36.062813,30.768229,33.796097,29.141823,26.32
-41.41954426929548,-64.40137638541336,141.0,37.76343,30.92916,33.908108,29.202951,33.6
-41.419540651281324,-64.40136478161556,141.0,38.48922,30.992918,34.46367,29.225641,33.0
-41.4195375501254,-64.40135483550418,141.0,38.91401,31.300781,34.806625,29.369291,32.56
-41.41953393210906,-64.40134323170878,141.0,37.861412,30.94968,34.92617,29.601957,32.44
-41.41953031409155,-64.40133162791464,141.0,38.115448,30.8415,34.748238,29.964615,21.08
-41.41952721293276,-64.40132168180642,141.0,37.46681,30.599195,34.374397,30.16312,21.36
-41.41952359491309,-64.4013100780147,141.0,37.772102,30.887123,34.123642,30.536404,30.32
-41.419519976892225,-64.40129847422426,141.0,37.530575,31.030605,33.904972,30.548899,27.92
-41.41951687573056,-64.4012885281192,141.0,38.133873,31.106611,33.764,30.425323,27.2
-41.41951325770752,-64.40127692433114,141.0,38.695156,31.023582,33.771137,30.385086,27.76
-41.41950963968331,-64.40126532054438,141.0,39.453316,31.016012,33.790043,30.631474,30.36
-41.419506538518775,-64.40125537444246,141.0,39.84661,31.117512,33.774006,30.679976,30.96
-41.41950292049239,-64.4012437706581,141.0,39.96035,31.259256,33.659405,30.828947,30.2
-41.419499302464835,-64.40123216687502,141.0,39.931767,31.494165,33.64665,31.050179,38.52
-41.41949620129743,-64.40122222077626,141.0,39.82527,31.730217,33.739487,31.113039,37.72
-41.41949258326769,-64.40121061699557,141.0,39.870167,31.988506,33.898846,31.049442,37.4
-41.41948896523679,-64.40119901321617,141.0,40.180702,32.071167,34.094833,31.008999,36.92
-41.41948586406651,-64.40118906712057,141.0,40.747997,31.970303,34.25254,31.24879,36.28
-41.419482246033425,-64.40117746334356,141.0,41.328133,31.876204,34.632122,31.505363,45.32
-41.419478627999155,-64.40116585956784,141.0,42.13766,31.93966,35.020397,31.576086,44.8
-41.41947552682601,-64.40115591347538,141.0,42.097626,32.154625,35.27757,31.627485,44.2
-41.419471908789575,-64.40114430970205,141.0,42.72661,32.473957,35.409092,31.630562,43.88
-41.41946829075196,-64.40113270593001,141.0,42.62371,32.682636,35.368954,31.770575,43.68
-41.41946518957594,-64.40112275984072,141.0,43.4171,32.821667,35.433716,32.07635,43.28
-41.419461571536154,-64.40111115607107,141.0,43.562527,32.882877,35.387833,32.317425,52.6
-41.419457953495204,-64.40109955230271,141.0,43.78041,33.081493,35.30563,32.349606,52.96
-41.419454852316306,-64.40108960621656,141.0,43.410248,33.165886,35.08393,32.4525,52.4
-41.41945123427316,-64.40107800245059,141.0,42.82072,33.363575,34.808655,32.557964,51.68
-41.419447616228865,-64.40106639868591,141.0,42.65728,33.33419,34.668404,32.580387,51.84
-41.4194445150471,-64.40105645260293,141.0,42.698307,33.43815,34.548294,32.697487,51.6
-41.41944089700061,-64.40104484884064,141.0,43.468716,33.436825,34.52756,32.928333,51.8
-41.419437278952955,-64.40103324507963,141.0,44.452007,33.720505,34.373074,32.877537,60.72
-41.41943417776831,-64.4010232989998,141.0,45.59734,33.88965,34.244823,32.90807,61.04
-41.41943055971847,-64.4010116952412,141.0,46.277126,34.304867,34.06204,33.110928,60.52
-41.41942694166746,-64.40100009148387,141.0,46.32432,34.483376,33.944218,33.322296,60.48
-41.41942384047995,-64.40099014540719,141.0,45.47094,34.706413,33.967026,33.39418,59.76
-41.41942022242678,-64.40097854165228,141.0,44.814896,34.731636,33.98865,33.49709,59.28
-41.419416604372415,-64.40096693789863,141.0,44.003563,34.9171,34.07631,33.667244,59.44
-41.41941350318203,-64.4009569918251,141.0,43.91456,34.998466,34.068466,33.870865,47.28
-41.419409885125496,-64.40094538807385,141.0,43.863148,35.31938,34.11199,33.915905,69.32
-41.41940626706779,-64.40093378432388,141.0,44.35853,35.577507,34.182316,34.023712,69.64
-41.41940316587454,-64.40092383825352,141.0,44.88648,35.89228,34.311096,34.110497,57.44
-41.41939954781465,-64.40091223450595,141.0,45.60751,36.07076,34.55986,34.148716,57.4
-41.419395929753584,-64.40090063075966,141.0,46.59699,36.253826,34.832424,34.237514,45.48
-41.41939282855746,-64.40089068469246,141.0,47.06643,36.267643,35.12025,34.283813,45.04
-41.41938921049423,-64.40087908094856,141.0,47.90303,36.329254,35.35582,34.440243,45.52
-41.41938559242982,-64.40086747720596,141.0,47.97622,36.29485,35.552284,34.602436,55.6
-41.41938249123082,-64.4008575311419,141.0,48.306755,36.32584,35.636253,34.577984,55.68
-41.419378873164234,-64.40084592740169,141.0,48.285954,36.30028,35.759724,34.57425,55.44
-41.41937525509648,-64.40083432366278,141.0,48.429703,36.31011,35.90618,34.63154,55.68
-41.41937215389461,-64.40082437760186,141.0,48.552845,36.250328,36.072643,34.7379,55.4
-41.41936853582467,-64.40081277386534,141.0,48.758755,36.19047,36.310608,34.869102,66.24
-41.41936491775357,-64.4008011701301,141.0,49.10091,36.078983,36.54415,34.865,66.24
-41.41936181654882,-64.40079122407234,141.0,49.290394,36.008614,36.755306,34.88848,66.2
-41.419358198475535,-64.40077962033949,141.0,49.602222,35.918766,36.95231,34.977276,66.12
-41.41935458040108,-64.40076801660793,141.0,49.67854,35.876896,37.13484,35.090675,66.0
-41.419351479193466,-64.40075807055334,141.0,49.798267,35.865505,37.232933,35.057846,76.6
